$,dollar ドル記号
satisfy,償う
satisfy,満足を与える
satisfying,満足を与える
satisfying,満足な
satisfying,申し分のない
satrap,太守
satrap,総督
satrap,知事
saturated,十分にしみ込んだ
saturated,飽和した
saturation,十分にしみ込むこと
saturation,飽和させること
saturation,しみ込んだ状態
saturation,飽和状態
saturation,飽和度
saturation,彩度
Saturday,土曜日
saturnalia,お祭り騒ぎ
saturnalia,どんちゃん騒ぎ
saturnalia,《単数
saturnalia,複数扱い》農神祭
saturnine,陰気な
satyr,サチュロス
saucepan,シチューなべ
saucer,受け皿
saucer,台皿
saucy,生意気な
saucy,ずうずうしい
saucy,気のきいた
saucy,いきな
sauerkraut,サワークラウト
Saul,サウル
sauna,蒸しぶろ
sauna,サウナぶろ
saunter,ぶらつく
saunter,ぶらぶら歩き
saunter,散歩
saunterer,ぶらぶら歩く人
saunterer,散歩する人
saurian,トカゲ類の動物
saurian,トカゲ類の
saurian,トカゲ類動物特有の
sausage,ソーセージ
sausage,腸詰め
savagely,残酷に
savagely,野蛮に
savageness,残忍
savageness,野蛮
savageness,未開
savagery,野蛮状態
savagery,残忍
savagery,凶暴
savagery,残酷な行為
savant,大学者
savant,博学者
save,罪から救う
save,貯金する
save,節約する
save,敵の得点を妨げること
saveloy,乾製ソーセージ　サビロイ
saving,欠点を補う
saving,埋め合わせとなる
saving,節約する
saving,倹約する
saving,つましい
saving,貯金
saving,預金
saving,節約したもの
saving,節約量
saving,節約
saving,倹約
savior,救助者
savior,救済者
savior,救い主キリスト
saviour,救助者
saviour,救済者
saviour,救い主キリスト
savory,セイバリー
savory,味のよい
savory,おいしい
savory,かおりのよい
savory,塩味の
savory,ピリッとした
savory,好ましい
savory,食後に出る辛口の料理
savoury,味のよい
savoury,おいしい
savoury,かおりのよい
savoury,塩味の
savoury,ピリッとした
savoury,好ましい
savoury,食後に出る辛口の料理
savoy,チリメンタマナ
savvy,知る
savvy,分かる
savvy,もの分かり
savvy,飲み込み
saw,seeの過去
saw,ことわざ
sawbones,外科医
sawbuck,木びき台
sawbuck,10ドル紙幣
sawdust,おがくず
sawfish,ノコギリエイ
sawhorse,木びき台
sawmill,製材所
sawn,sawの過去分詞
sawpit,木びき穴
sawyer,木びき
sawyer,木をひく人
saxifrage,ユキノシタ
saxophone,サキソフォーン
saxophonist,サキソフォーン奏者
say,言うべきこと
say,言い分
say,発言権
say,決定権
saying,言うこと
saying,言われた言葉
saying,格言
saying,ことわざ
says,sayの三人称単数現在
Sb,stibiumの化学記号
SBA,Small Business Administration中小企業庁
Sc,scandiumの化学記号
sc.,scale
sc.,scene
sc.,science
Sc.,Scotch
Sc.,Scotland
Sc.,Scots
scab,かさぶた
scab,非組合員
scab,スト破り
scab,スト破りをする
scabbard,さや
scabby,かさぶたでおおわれた
scabby,かさぶただらけの
scabies,かいせん
scabies,ひぜん
scabious,マツムシソウ属の植物
scabious,紫
scabious,ピンクの花を咲かす
scabrous,ざらざらした
scabrous,でこぼこの
scabrous,わいせつな
scabrous,きわどい
scads,いっぱい
scads,たくさん
scaffold,足場
scaffold,処刑台
scaffold,断頭台
scaffold,野外舞台
scaffold,組み立てさじき
scaffolding,足場
scaffolding,足場組み
scaffolding,足場材料
scalar,段階状の
scalar,はしご状の
scalar,スカラーの
scalar,スカラー
scalar,スカラー量
scalawag,やくざ者
scalawag,ならず者
scalding,やけどするほど熱い
scalding,てきびしい
scale,うろこ
scale,うろこ状の物
scale,薄片
scale,そぎ取る
scale,はげ落ちる
scallion,若いラッキョウの玉
scalpel,外科用メス
scalpel,解剖刀
scalper,頭皮をはぐ人
scalper,〔米話〕 ぴんはねする人
scalper,利ざやを稼ぐ人
scalper,〔米話〕 ダフ屋
scaly,うろこにおおわれた
scaly,うろこでできた
scaly,うろこ状の
scaly,ぼろぼろにはげ落ちる
scamp,ならず者
scamp,いたずら者
scamp,わんぱく小僧
scamper,あわてて逃げる
scamper,すばやく走る
scamper,はね回る
scamper,ふざけ回る
scamper,疾走
scamper,ふざけまわること
scampi,スキャンピ
Scand.,Scandinavia
Scand.,Scandinavian
scandal,醜聞
scandal,スキャンダル
scandal,恥
scandal,不面目
scandal,義憤
scandal,反感
scandal,物議
scandal,中傷
scandal,陰口
scandal,悪口
scandalize,憤慨させる
scandalize,あきれさせる
scandalise,憤慨させる
scandalise,あきれさせる
scandalmonger,人の悪口を言いふらす人
scandalmonger,悪口屋
scandalous,不面目な
scandalous,恥ずべき
scandalous,人の名誉を傷つける
scandalous,中傷的な
scandalous,中傷好きな
scandalous,醜聞をまき散らしたがる
Scandinavia,スカンジナビア半島
Scandinavia,スカンジナビア
Scandinavia,北欧
Scandinavian,スカンジナビア[人
Scandinavian,語]の
Scandinavian,北欧[人
Scandinavian,語]の
Scandinavian,スカンジナビア人
Scandinavian,北欧人
Scandinavian,スカンジナビア語
Scandinavian,北欧語
scandium,スカンジウム
scanner,精密に調べる人
scanner,スキャナー
scanner,光学式走査器
scansion,詩を韻律分析して音脚に分けること
scantily,不十分に
scantily,出し惜しんで
scantiness,不足
scantiness,不十分
scanty,乏しい
scanty,不十分な
scanty,不足ぎみの
scanty,かろうじて足りる
scanty,小さい
scapegoat,他人の罪をかぶる人
scapegoat,身代り
scapegoat,贖罪のヤギ
scapegrace,ろくでなし
scapegrace,やっかい者
scapula,肩甲骨
scarab,コガネムシ
scarab,スカラブ
scarce,乏しい
scarce,不足した
scarce,まれな
scarce,珍しい
scarcity,欠乏
scarcity,不足食糧難
scarcity,ききん
scarcity,まれなこと
scarcity,珍しいこと
scarecrow,かかし
scarecrow,やせこけた人
scarecrow,ぼろをまとった人
scaremonger,世間を騒がせる人
scaremonger,デマをとばす人
scarf,スカーフ
scarf,えり巻き
scarf,掛け布
scarf,テーブル掛け
scarf,ピアノ掛けなど
scarify,かき起こす
scarp,急傾斜
scarp,急坂
scarper,とんずらする
scarper,食い逃げする
scary,恐ろしい
scary,こわい
scary,こわがりの
scary,おくびょうな
scat,すぐ立ち去れ
scat,シッシッ
scat,あっちへ行け
scathing,痛烈な
scathing,きびしい
scatological,排泄の描写が多い
scatological,糞尿学の
scatology,糞尿学
scatology,排泄行為についてむやみに書きたてること
scatterbrain,気持ちが散漫な人
scatterbrain,軽率な人
scatterbrained,散漫な
scatterbrained,軽率な
scatterbrained,うわついた
scattered,散在する
scattered,ばらばらの
scattering,まき散らすこと
scattering,散布
scatty,頭のおかしい
scatty,まぬけな
scavenge,そうじする
scavenge,腐肉を食べる
scavenge,ごみあさりをする
scavenge,ごみさらいをする
scenario,シナリオ
scenario,台本
scenario,筋書き
scenarist,映画脚本作者
scenarist,シナリオライター
scenery,風景
scenery,景色
scenery,舞台装置
scenery,舞台背景
scenery,道具立て
sceneshifter,道具方
sceneshifter,裏方
scenic,景色の
scenic,風景の
scenic,景色のよい
scenic,舞台装置の
scenically,風光明美に
scenically,舞台的に
scentless,かおりのない
scepter,幽霊
scepter,お化け
scepter,こわいもの
scepter,恐ろしいもの
sceptre,幽霊
sceptre,お化け
sceptre,こわいもの
sceptre,恐ろしいもの
schema,図式
schema,図解
schema,あらまし
schema,概要
schematic,概要の
schematic,図解の
schematic,図表の
schematically,概略的に
schematically,図解で
schematically,図式的に
schemer,計画者
schemer,策士
scherzo,スケルツォ
Schiller,シラー
schilling,シリング
schilling,旧ドイツの硬貨
schism,分裂
schism,分離
schism,分派
schismatic,分裂の
schismatic,宗派分立論者
schist,片岩
schizoid,精神分裂症の
schizoid,精神分裂症患者
schizophrenia,精神分裂症
schizophrenic,精神分裂症の
schizophrenic,精神分裂症患者
schlemiel,どじ
schlemiel,無能な人間
schlemiel,まぬけ
schlock,安物の
schlock,つまらない
schlock,安物
schlock,がらくた
schmaltz,極端な感傷主義
schmaltzy,ひどく感傷的な
schmo,うすのろ
schmo,まぬけ　馬鹿
schnapps,強い酒
schnapps,オランダジン
schnauzer,シュナウザー犬
schnitzel,シュニッツェル
schnook,とんま
schnook,ばか
scholar,学者
scholar,学のある人
scholar,博学の人
scholar,奨学生
scholar,特待生
scholar,《文
scholar,古》小学生
scholar,生徒
scholarly,学者の
scholarly,学者らしい
scholarly,学究的な
scholarly,学問的な
scholarly,学者的な
scholarly,学問を好む
scholarship,奨学金
scholarship,学識
scholarship,学力
scholastic,学校の
scholastic,教育の
scholastic,スコラ学の
scholastic,学者ぶった
scholasticism,スコラ哲学
school,学校
school,学部
school,教習所
school,養成所
school,訓練所
school,校舎
school,学校の建物
school,授業
school,課業
school,学校教育
school,学業
school,全校生徒および教職員
school,派
school,学派
school,流派
school,しつける
school,訓練する
school,群れ
schoolbook,教科書
schoolchild,学童
schoolgirl,女生徒
schoolhouse,校舎
schooling,学校教育
schooling,教育
schoolman,スコラ哲学者
schoolman,学校教師
schoolmarm,女教師
schoolmarm,もったいぶった女
schoolmaster,男教師
schoolmaster,男の校長
schoolmastering,教職
schoolmate,学友
schoolmate,同窓生
schoolmistress,女教師
schoolmistress,女校長
schoolroom,教室
schoolteacher,先生
schoolteacher,学校教師
schoolwork,学業
schoolwork,学校の勉強
schoolyard,運動場
schoolyard,校庭
schooner,スクーナー
schooner,ビール用大型コップ
Schubert,シューベルト
Schumann,シューマン
schuss,直滑降
schuss,直滑降する
schussboomer,猛スピードで直滑降するスキーヤー
schwa,あいまい母音
schwa,シュワー
schwa,あいまい母音の発音記号
sci.,science
sci.,scientific
sciatic,座骨の
sciatic,座骨神経の
sciatica,座骨神経痛
science,科学
science,自然科学
science,科学
science,学問
science,技術
science,わざ
scientific,科学の
scientific,学術的な
scientific,体系的な
scientific,正確な
scientifically,科学的に
scientifically,学術的に
scientist,科学者
scientist,自然科学者
scientology,サイエントロジー
scil.,scilicet
scilicet,すなわち
scilicet,換言すれば
scimitar,三日月形の刀
scimiter,三日月形の刀
scintilla,微量
scintilla,気味
scintillate,火花を発する
scintillate,きらめく
scintillate,光る
scintillate,光る
scintillation,火花
scintillation,きらめき
scintillation,才気のひらめき
scion,若枝
scion,つぎ穂
scion,子孫
scissors,はさみ
sclera,鞏膜
sclerosis,硬化
sclerosis,硬化症
sclerotic,硬化した
sclerotic,硬化症の
scoff,あざける
scoff,嘲笑する
scoff,嘲笑
scoff,あざけり
scoffer,嘲笑する人
scoffingly,あざけって
scoffingly,冷笑して
scofflaw,法律をばかにする人
scofflaw,違反常習者
scold,小言を言う
scold,しかる
scold,ののしる
scold,口やかましい人
scold,がみがみ女
scolder,しかる人
scolding,小言
scolding,しかること
scolding,口やかましい
scolding,がみがみいう
sconce,突き出し燭台
scone,小型パン
scone,菓子パン
scoopful,一すくい分
scoot,急いで行く
scoot,走り去る
scoot,スクーターで進む
scooter,スクーター
scooter,モータースクーター
scope,範囲
scope,能力の限界
scope,視野
scope,機会
scope,余地
scopolamine,スコポラミン
scorbutic,壊血病
scorbutic,壊血病にかかった
scorcher,焦がすもの
scorcher,焼けつくように暑い日
scorcher,痛烈なもの
scorching,焦がすような
scorching,激しい
scorching,焼けつくほど
score,スコア
score,得点記録
score,得点
score,点数
score,評点
score,20
score,勘定
score,借金
score,理由
score,根拠
score,原因
score,刻み目
score,線
score,印
score,総譜
score,楽譜
score,作曲する
score,得点する
score,優勢となる
score,成功する
score,麻薬を売う
scoreboard,スコアボード
scoreboard,得点掲示板
scorebook,スコアブック
scorebook,得点記入帳
scorecard,得点表
scorecard,採点表
scorekeeper,公式記録員
scorekeeper,スコアラー
scoreless,無得点の
scorer,採点者
scorer,得点記録係
scoria,鉱滓
scoria,かなくそ
scoria,岩滓
scornful,軽べつする
scornful,さげすむ
scornful,軽べつする
scornfully,軽べつして
scornfully,冷笑して
Scorpio,サソリ座
Scorpio,天蝎宮
scorpion,サソリ
Scot,スコットランド人
Scotchman,スコットランド人
Scotchwoman,スコットランド婦人
Scotland,スコットランド
Scott,スコット
Scottish,スコットランド人
Scottish,スコットランド方言
Scottish,スコットランドの
Scottish,スコットランド人の
scoundrel,悪党
scoundrel,ならず者
scour,捜し回る
scourer,ナイロンたわし
scouring,磨くための
scouring,磨くこと
scout,〈申し出
scout,意見など〉軽べつしてはねつける
scout,鼻であしらう
scoutmaster,ボーイスカウトの隊長
scow,平底船
scow,スカウ
scrabble,ひっかき回す
scrabble,つかみ合う
scrabble,苦闘する
scrabble,書きなぐる
scrabble,よじ登ること
scrabble,奪い合い
scrabble,つづり字遊び
scraggly,もじゃもじゃの
scraggly,不ぞろいな
scraggy,やせこけた
scraggy,でこぼこの
scraggy,不ぞろいの
scram,逃げる
scram,すぐに出て行く
scrambled,混乱した
scrambled,かきまぜて料理した
scrambler,はうようにして進む人
scrambler,周波数帯変換器
scrap,いさかい
scrap,けんか
scrap,けんかする
scrapbook,切り抜き帳
scraper,こする人
scraper,こすり取る道具
scraper,靴の泥落とし
scraper,こて
scrapheap,ごみの山
scrapheap,くず鉄の山
scrapheap,ごみため
scrapheap,ごみ捨て場
scraping,かくこと
scraping,削ること
scraping,くず
scraping,ごみ
scrapple,スクラップル
scrappy,くずの
scrappy,残り物の
scrappy,断片的な
scrappy,闘争的な
scrappy,けんか好きな
scratchpad,メモ帳
scratchpad,雑記用便せん
scratchy,走り書きの
scratchy,ぞんざいな
scratchy,耳ざわりな音を立てる
scratchy,かゆくなる
scrawny,やせた
scrawny,骨ばった
screamer,金切り声で叫ぶ人
screamer,キーキーいう物
screamer,奇抜な話
screamer,大見出し
screaming,金切り声を出す
screaming,人を驚かせるような
screaming,目立つ
scree,じゃり石
scree,石くず
screed,長たらしい手紙
screening,映写
screening,上映
screening,選抜すること
screenplay,映画のシナリオ
screwball,変人
screwball,奇人
screwball,スクリューボール
screwdriver,ねじ回し
screwdriver,ドライバー
screwy,気のふれた
screwy,狂った
screwy,ひどく奇妙な
screwy,ばかげた
scribbler,三文文士
scribbler,へぼ作家
scribe,筆記者
scribe,筆写者
scribe,書記
scribe,代書人
scribe,律法学者
scrim,スクリム
scrimmage,こぜり合い
scrimmage,組み打ち
scrimmage,乱闘
scrimmage,スクリメージ
scrimmage,練習試合
scrimmage,つかみ合う
scrimmage,乱闘する
scrimmage,スクリメージを組む
scrimmage,練習試合をする
scrimshank,職務を怠ける
scrimshank,さぼる
scrimshaw,彫り物技術
scrimshaw,彫り物細工
scrimshaw,彫り物類
scrimshaw,彫り物細工を作る
scrimshaw,彫り物をする
scrip,臨時紙幣
scrip,商品券
scrip,引替券
script,手書き
script,筆記体
script,筆記活字
script,文字
script,文字体系
script,台本
script,脚本
Script.,Scriptural
Script.,Scripture
scripture,聖書
scripture,経典
scripture,聖典
scripture,聖書の一節
scriptwriter,脚本家
scriptwriter,シナリオ作者
scrivener,代書人
scrivener,筆耕者
scrivener,書記
scrod,タラの幼魚
scrofula,るいれき
scrofulous,るいれきの
scrofulous,るいれきにかかった
scroll,巻物
scroll,渦巻き形模様
scrollwork,うず形装飾
scrollwork,雲形模様
scrotum,陰嚢
scrounger,他人にたかってばかりいる人
scrounger,無断借用する人
scrub,下ばえ
scrub,低木の茂み
scrub,標準より小さい人
scrub,補欠選手
scrub,標準より小さい
scrub,二流選手の
scrub,やぶにおおわれた
scrubber,掃除夫
scrubber,ブラシ
scrubber,たわし
scrubber,売春婦
scrubber,ふしだらな女
scrubby,小型の
scrubby,発育不良の
scrubby,劣等の
scrubby,低木の茂った
scrubby,不正な
scrubby,ずるい
scrubby,みすぼらしい
scruff,えり首
scruff,うなじ
scruffy,みすぼらしい
scruffy,むさくるしい
scrumcap,頭当て
scrumhalf,スクラムハーフ
scrummage,スクラム
scrummage,組打ち
scrummage,乱闘
scrumptious,実にうまい
scrumptious,すばらしい
scrumpy,強いりんご酒
scruple,良心のとがめ
scruple,《しばしばno
scruple,withoutの後に用いて》ためらい
scruple,ちゅうちょ
scruple,ほんの少し
scruple,ごく少量
scruple,スクループル
scruple,良心がとがめる
scruple,ためらう
scrupulous,良心的な
scrupulous,きちょうめんな
scrupulous,細心の
scrupulous,綿密な
scrutineer,検査官
scrutineer,開票検査人
scrutiny,綿密な調査
scrutiny,くわしく見ること
scuba,スキューバ
scuba,スキューバの
scud,すばやく動く
scud,追い風に乗って走る
scud,すばやく動くこと
scud,疾走
scud,風に吹かれて飛ぶ雲
scud,風まじりの激しい雨
scuff,表面をこすって傷つける《+up+名
scuff,+名+up》
scuff,足を引きずって歩く
scuff,表面がこすれて傷つく
scuff,足を引きずって歩くこと
scuff,こすり傷
scuffle,乱闘
scuffle,取っ組み合い
scuffle,組打ち
scuffle,乱闘する
scuffle,取っ組み合う
scull,ともがい
scull,櫓
scull,スカル
scull,ともがいでこぐ
scull,〈舟
scull,ボート〉ともがいでこぐ
sculler,スカル
sculler,スカルでこぐ人
scullery,皿洗い場
scullion,皿洗い人
scullion,台所の下動き
scullion,下劣な人
sculptor,彫刻家
sculptress,女流彫刻家
sculptural,彫刻の
sculptural,彫刻のような
sculpture,彫刻
sculpture,彫刻術
sculpture,彫刻品
sculpture,彫刻作品
sculpture,〈石
sculpture,柱など〉彫刻したように変形させる
sculpture,彫刻する
scum,浮きあわ
scum,薄皮
scum,浮きごみ
scum,浮きあか
scum,人間のくず
scum,くず
scum,浮きあわができる
scumbag,いやったらしい奴、げす野郎
scumbag,コンドーム
scummy,浮きあわでおおわれた
scummy,下劣な
scummy,くずのような
scupper,甲板排水口
scurf,ふけ
scurf,あか
scurf,薄くてうろこ状にはげ落ちるもの
scurrility,下劣
scurrility,下品
scurrility,下品な言葉
scurrilous,下品な
scurrilous,野卑な
scurry,ちょこちょこ走る
scurry,せかせかと動く
scurry,小走り
scurry,急ぎ足
scurvily,下劣に
scurvy,壊血病
scurvy,卑劣な
scurvy,あさましい
scut,短い尾
scuttle,ふたのついた昇降口
scuttle,おおいのついた船室の小窓
scuttle,ふた
scuttle,おおい
scuttle,やめる
scuttle,だめにする
scuttle,石炭入れ
scuttle,バケツ
scuttle,大かご
scuttle,小走りに急ぐ
scuttle,せかせか走る
scuttle,急ぎ足
scuttlebutt,うわさ
scuttlebutt,ゴシップ
Scylla,スキュラ
scythe,草刈りがま
scythe,大がまで刈る
Se,seleniumの化学記号
SE,southeast
SE,southeastern
S.E.,southeast
S.E.,southeastern
s.e.,southeast
s.e.,southeastern
seabed,海底
seabird,海鳥
seaboard,沿岸
seaboard,沿岸地方
seaborne,海上の
seacoast,海岸
seacoast,海辺
seadog,年とった水夫
seadog,老練な水夫
seafarer,船乗り
seafaring,海と深くかかわる
seafaring,海に生きる
seafaring,船乗りの
seafaring,海上旅行の
seafaring,船乗り業
seafaring,海上旅行
seafront,海岸区域
seafront,海岸通り
seagirt,海に囲まれた
seakale,ハマナ
seal,アザラシ
seal,アザラシの皮
seal,アザラシのなめし皮
seal,アザラシ狩りをする
seal,印
seal,印章
seal,印鑑
seal,判
seal,はんこ
seal,封印
seal,封
seal,装飾シール
seal,ステッカー
seal,しるし
seal,証拠
seal,決める
sealant,密封剤
sealed,密封した
sealed,印を押した
sealer,アザラシ猟師
sealer,密封材
sealing,アザラシ狩り
sealskin,オットセイの皮
Sealyham,シーリハムテリア
seaman,水夫
seaman,船乗り
seaman,船員
seaman,水兵
seaman,水兵
seaman,船の操縦のうまい人
seamanlike,船乗りらしい
seamanlike,船の操縦が巧みな
seamanship,航海術
seamanship,操船術
seaminess,裏面
seaminess,いやな面
seamless,縫い目のない
seamstress,仕立て屋
seamstress,針子
seamy,いやな
seamy,見苦しい
seamy,縫い目のある
séance,心霊術の会
seance,心霊術の会
seaplane,水上飛行機
seaport,海港
seaport,港町
search,〈ある場所
search,人の体など〉綿密に調査する
search,綿密に調査する
search,くまなく捜す
search,捜索
search,調査
search,捜すこと
searcher,捜索者
searcher,探求者
searcher,捜索具
searching,油断のない
searching,注意深い
searching,鋭い
searchlight,サーチライト
searchlight,探照灯
searchlight,探照灯の光
searing,焦げつく
searing,情事に身を焦がす
seascape,海の景色
seascape,海の絵
seashore,海岸
seashore,海辺
seasick,船に酔った
seasickness,船酔い
seaside,海岸
seaside,海辺
seaside,海辺の
season,季
season,季節
season,時季
season,時節
season,出盛り
season,盛んな時期
season,時節
season,時期
season,ふさわしい時
season,好期
season,慣らす
season,鍛える
season,乾燥する
season,乾燥して使えるようになる
seasonable,季節に合う
seasonable,時節がらの
seasonable,時機を得た
seasonably,時機を得て
seasonably,つごうよく
seasonal,季節の
seasonal,季節的
seasonal,季節ごとの
seasoner,調味する人
seasoner,調味料
seasoner,薬味
seasoning,調味料
seasoning,薬味
seasoning,妙味を増すもの
seat,腰掛け
seat,座席
seat,席
seat,腰をおろす部分
seat,しりの部分
seat,しり
seat,座
seat,地位
seat,身分
seat,議席
seat,予約席
seat,所在地
seat,ありか
seat,中心地
seat,乗り方
seat,固定する
seat,すえつける
seatbelt,安全ベルト
seatbelt,座席ベルト
seating,着席
seating,座席配置
seating,収容力
seating,馬の乗り方
Seattle,シアトル
seawall,防波堤
seawall,岸壁
seaward,海に面した
seaward,海のほうへの
seaward,海からの
seaward,海のほうへ
seaward,海へ向かって
seawater,海水
seaway,海路
seaway,航路
seaway,内海路
seaway,内陸水路
seaway,船の航進
seaway,船脚
seaweed,海草
seaweed,海の藻
seaworthy,航海に適する
SEC,Securities and Exchange Commission証券取引委員会
sec.,second
sec.,secondary
sec.,secretary
sec.,section
secant,セカント
secant,正割
secant,割線
secant,切る
secant,交わる
secant,交差する
secateurs,せん定ばさみ
secateurs,植木ばさみ
secede,新しい組織を作るために脱退する
secede,脱会する
secession,脱退、分離、離脱
secession,米国南部11州の連邦脱退
secessionist,脱退論者
secessionist,分離論者
secessionist,脱退の
secessionist,脱退賛成の
secessionist,脱退主義の
secessionist,脱党論の
seclude,引き離す
seclude,孤立させる
secluded,引き込もった
secluded,隠居した
secluded,人里離れた
seclusion,引き込もること
seclusion,隠退
seclusion,隔離
seclusion,孤立
seclusive,引き込もりがちな
seclusive,ひとり暮らしを好む
second,秒
second,瞬間
second-best,2番目によい
second-best,次善の
second-class,二流の
second-class,劣った
second-class,第2種の
second-class,普通郵便の
second-class,2等の
second-class,2等で
second-class,第2種郵便で
second-class,普通郵便で
second-degree,第2級の
second-rate,二流の
second-rate,月並みの
second-rate,劣った
second-rate,劣等の
second-string,交代要員の
second-string,控え選手の
secondarily,第2位に
secondarily,従属的に
secondarily,補佐として
secondary,第2の
secondary,2番目の
secondary,次の
secondary,派生的な
secondary,二次的な
secondary,あまり重要でない
secondary,中等学校の
secondary,二次電流の
seconder,賛成者
seconder,支持者
secondhand,秒針
secondly,第二に
secondly,次に
seconds,欠陥のある格安の衣料
secrecy,秘密
secrecy,秘密を守ること
secrecy,秘密厳守
secret,秘密の
secret,人目につかない
secret,秘かに活動する
secret,表に出ない
secret,秘密
secret,隠し事
secret,ないしょの話
secret,神秘
secret,不思議
secret,秘けつ
secret,かぎ
secret,秘けつ
secretarial,秘書の
secretarial,書記官の
secretarial,大臣の
secretariat,事務局
secretariat,書記局
secretariat,事務局職員
secretariat,書記官職
secretariat,長官の職
secretariat,大臣の職
secretary,秘書
secretary,書記
secretary,秘書官
secretary,長官
secretary,大臣
secretary,書き物机
secrete,〈ホルモン
secrete,樹液など〉分泌する
secretion,分泌作用
secretion,分泌物
secretion,隠すこと
secretive,隠しだてする
secretive,ないしょの
secretive,隠しだてする
secretive,分泌の
secretive,分泌する
secretly,内密に
secretly,こっそり
sect,宗派
sect,教派
sect,派
sect.,section
sectarian,宗派の
sectarian,党派の
sectarian,宗派心の強い
sectarian,視野の狭い
sectarian,宗徒
sectarian,宗派心の強い人
sectarianism,宗派心
sectarianism,派閥主義
sectile,なめらかに切れる
sectile,切断可能な
sectional,組み立て式の
sectional,部分的な
sectional,局地的な
sectional,断面の
sectionalism,地域主義
sectionalism,地域偏重
sectionalism,派閥主義
sector,扇形
sector,軍事作戦地区
sector,部門
secular,宗教に関係のない
secular,世俗的な
secular,現世の
secular,修道院に住まない
secular,修道会に所属しない
secularism,世俗主義
secularism,政治宗教分離論
secularism,教員宗教分離論
secularist,俗主義者
secularist,教育宗教分離論者
secularist,世俗主義の
secularization,世俗化
secularization,一般化
secularization,教育と宗教の分離
secularisation,世俗化
secularisation,一般化
secularisation,教育と宗教の分離
securely,安全に
securely,安心して
securely,しっかりと
security,安全
security,無事
security,安心
security,警備
security,防衛手段
security,担保
security,低当
security,株券
security,有価証券
secy.,secretary
secy,secretary
sedate,落ち着いた
sedate,もの静かな
sedate,穏やかな
sedate,落ち着かせる
sedate,眠らせる
sedation,落ち着かせること
sedation,鎮静状態
sedative,鎮静効果のある
sedative,鎮静の
sedative,鎮静剤
sedentary,体を動かすことが少ない
sedentary,いつも座っている
sedentary,体を動かさなくてもよい
sedentary,定住性の
sedentary,移住しない
Seder,過ぎ越しの祭りの儀式的正餐
sedge,スゲ
sedgy,スゲでおおわれた
sedgy,スゲの
sedgy,スゲに似た
sediment,沈殿物
sediment,かす
sediment,堆積物
sedimentary,堆積物の
sedimentary,沈殿作用による
sedimentation,沈殿
sedimentation,堆積
sedimentation,沈殿作用
sedition,反政府的な扇動
sedition,アジ演説
sedition,教唆行為
seditious,扇動的な
seditious,反乱の
seduce,誘惑する
seduce,くどく
seducer,誘惑者
seducer,女たらし
seduction,そそのかすこと
seduction,誘惑
seduction,人を惑わすもの
seduction,魅力的なもの
seduction,魅力
seductive,人を引きつける
seductive,魅惑的な
sedulous,勤勉な
sedulous,よく働く
see,司教区
see,司教の地位
see,司教管轄権
see-through,透けて見える
seed,種
seed,種子
seed,原因
seed,根源
seed,種
seed,子供たち
seed,子孫
seed,ドライアイスを散布する
seed,種を生ずる
seed,種を落とす
seedbed,苗床
seedbed,温床
seedcake,キャラウェーの種子の入ったかおりのよいケーキ
seedily,種がいっぱいで
seedily,みすぼらしく
seediness,種の多いこと
seediness,みすぼらしさ
seedling,実生の若木
seedling,苗木
seedling,若木
seedsman,種子をまく人
seedsman,種屋
seedy,種の多い
seedy,みすぼらしい
seedy,ぱっとしない
seedy,気分のすぐれない
seedy,体調が悪い
seeker,追求者
seeker,探求者
seem,見える
seem,思われる
seeming,うわべの
seeming,外観上の
seeming,見せかけの
seemingly,うわべは
seemingly,表面は
seemingly,一見したところ
seemingly,なるほど
seemliness,適切さ
seemliness,礼儀にかなっていること
seemly,ふさわしい
seemly,適切な
seemly,礼儀にかなった
seemly,たしなみのよい
seemly,上品な
seen,seeの過去分詞
seep,にじみ出る
seep,しみ出る
seepage,しみ出ること
seepage,浸出
seepage,しみ出るもの
seepage,浸出量
seer,予言者
seer,見る人
seer,占い師
seersucker,サッカー
seesaw,シーソー
seesaw,シーソー遊び
seesaw,変動
seesaw,一進一退
seesaw,シーソー遊びをする
seesaw,上下に動く
seesaw,変動する
seethe,沸騰する
seethe,煮立つ
seethe,あわ立つ
seethe,うず巻く
seethe,〈人
seethe,場所などが〉騒然とする
seethe,沸き返る
segmentation,区分
segmentation,分割
segmentation,分断
sego,セゴユリ
segregated,人種差別のある
segregated,隔離された
segregation,分離すること
segregation,人種差別
segregationist,人種差別主義者
seigneur,封建君主
seignior,君主
seignior,支配者
seignior,領主
seine,地引き網
seine,地引き網でとる
seine,地引き網で漁をする
Seine,セータ川
seism,地震
seismic,地震の
seismic,地震によって生ずる
seismogram,震動記象
seismograph,地震計
seismologist,地震学者
seismology,地震学
seismometer,地震計
seizure,つかむこと
seizure,強奪
seizure,差し押さえ
seizure,逮捕
seizure,襲うこと
seizure,発作
sel.,select
sel.,selected
sel.,selection
selectee,応召兵　選抜徴兵応召者
selection,選ぶこと
selection,選抜
selection,選出
selection,選び出すこと
selection,選び抜かれた人
selection,抜粋
selection,選集
selection,品揃え
selection,淘汰:natural selection自然淘汰
selective,選択の
selective,選択する
selective,注意して選ばれた
selective,淘汰の
selective,選択度の高い
selectivity,選択性
selectivity,精選
selectivity,淘汰
selectivity,選択度
selectivity,感度
